 Shallow Bytes │ Shallow % │ Item
───────────────┼───────────┼──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
          3443 ┊     0.05% ┊ <leptos_reactive::signal_wrappers_read::MaybeProp<T> as leptos_reactive::signal::SignalGet>::get::h09df0e51585d487e
          3418 ┊     0.05% ┊ <leptos_dom::components::ComponentRepr as leptos_dom::IntoView>::into_view::h725b20d8149a9b49
          3385 ┊     0.05% ┊ <leptos_dom::View as leptos_dom::IntoView>::into_view::hc114da7c38e05d22
          3240 ┊     0.05% ┊ leptos_dom::macro_helpers::into_attribute::attribute_expression::h078f3f4c3bcfd983
          3239 ┊     0.05% ┊ leptos_reactive::runtime::RuntimeId::create_concrete_effect::h8e03fd9eea393296
          3105 ┊     0.05% ┊ <F as leptos_dom::IntoView>::into_view::h4505e214647a4df4
          3105 ┊     0.05% ┊ <F as leptos_dom::IntoView>::into_view::h5796caa4a0a253a5
          3105 ┊     0.05% ┊ <F as leptos_dom::IntoView>::into_view::h210dcd1a0046be10
          3105 ┊     0.05% ┊ <F as leptos_dom::IntoView>::into_view::h26c42a68df4ced50
          3105 ┊     0.05% ┊ <F as leptos_dom::IntoView>::into_view::ha3b8d5ac660c0035
          3105 ┊     0.05% ┊ <F as leptos_dom::IntoView>::into_view::h8e5b2fe5e5de2c81
          3096 ┊     0.05% ┊ leptos_reactive::stored_value::StoredValue<T>::try_with_value::h09a6256f29a29fb5
          3073 ┊     0.05% ┊ leptos_reactive::runtime::Runtime::push_scope_property::ha987fc395457fad4
          2970 ┊     0.04% ┊ <leptos_reactive::node::Disposer as core::ops::drop::Drop>::drop::h1af7367f5383562d
          2929 ┊     0.04% ┊ leptos_reactive::stored_value::StoredValue<T>::try_with_value::h3115cff497f82253
          2929 ┊     0.04% ┊ leptos_reactive::stored_value::StoredValue<T>::try_with_value::h4514577bc6e597f6
          2929 ┊     0.04% ┊ leptos_reactive::stored_value::StoredValue<T>::try_with_value::h04a37df568da0a39
          2929 ┊     0.04% ┊ leptos_reactive::stored_value::StoredValue<T>::try_with_value::h149ac5a56f062bff
          2929 ┊     0.04% ┊ leptos_reactive::stored_value::StoredValue<T>::try_with_value::h562bd3a9cd6c2aba
          2929 ┊     0.04% ┊ leptos_reactive::stored_value::StoredValue<T>::try_with_value::h70928a3ce6a27dd9
          2882 ┊     0.04% ┊ hashbrown::raw::RawTable<T,A>::reserve_rehash::h988fd988780ba569
          2882 ┊     0.04% ┊ hashbrown::raw::RawTable<T,A>::reserve_rehash::he340a8044144f21f
          2839 ┊     0.04% ┊ hashbrown::raw::RawTable<T,A>::reserve_rehash::hd105d92e4d055e28
          2271 ┊     0.03% ┊ leptos_reactive::runtime::Runtime::new::heb2da7e0c2c388eb
          2183 ┊     0.03% ┊ core::sync::atomic::atomic_compare_exchange::ha50fc508c3275dfb
          2154 ┊     0.03% ┊ leptos_icons::IconPropsBuilder<I,((leptos_reactive::signal_wrappers_read::MaybeSignal<I>,),__width,__height,__class,__style)>::build::hd221ff781e77a76f
          2137 ┊     0.03% ┊ leptos_dom::components::ComponentRepr::new_with_id_concrete::h4b5adba99a3b4f43
          2081 ┊     0.03% ┊ <core::hash::sip::Sip13Rounds as core::hash::sip::Sip>::d_rounds::h038e278431b40680
          2080 ┊     0.03% ┊ hashbrown::raw::RawTableInner<A>::rehash_in_place::h54483e429c3cd8a9
          2045 ┊     0.03% ┊ leptos_icons::IconPropsBuilder<I,((leptos_reactive::signal_wrappers_read::MaybeSignal<I>,),__width,__height,__class,__style)>::build::h81cbd1fa9f9944e2
          2005 ┊     0.03% ┊ <leptos_reactive::runtime::Runtime as core::default::Default>::default::h906b224f5a93a808
          1907 ┊     0.03% ┊ core::sync::atomic::atomic_compare_exchange::he38955a42bd5fd19
          1907 ┊     0.03% ┊ core::sync::atomic::atomic_compare_exchange_weak::ha5adca86991b6dcc
          1907 ┊     0.03% ┊ core::sync::atomic::atomic_compare_exchange::h5a2775d3f10816cb
          1907 ┊     0.03% ┊ core::sync::atomic::atomic_compare_exchange::h28a6fc80d6f85c9c
          1848 ┊     0.03% ┊ hashbrown::raw::inner::RawTable<T,A>::reserve_rehash::hc361d9bbef7eb99c
          1835 ┊     0.03% ┊ leptos_reactive::runtime::Runtime::cleanup_node::ha49de451411d3529
          1835 ┊     0.03% ┊ <std::collections::hash::map::RandomState as core::hash::BuildHasher>::build_hasher::he25469c1cfbaf86c
          1835 ┊     0.03% ┊ <std::collections::hash::map::RandomState as core::hash::BuildHasher>::build_hasher::h0afbb44264923333
          1813 ┊     0.03% ┊ leptos_icons::IconPropsBuilder<I,((leptos_reactive::signal_wrappers_read::MaybeSignal<I>,),__width,__height,__class,__style)>::build::h2aa0aa879a13a4d7
          1813 ┊     0.03% ┊ leptos_icons::IconPropsBuilder<I,((leptos_reactive::signal_wrappers_read::MaybeSignal<I>,),__width,__height,__class,__style)>::build::h51bf9ed2c8266289
          1813 ┊     0.03% ┊ leptos_icons::IconPropsBuilder<I,((leptos_reactive::signal_wrappers_read::MaybeSignal<I>,),__width,__height,__class,__style)>::build::h94327c7854701816
          1808 ┊     0.03% ┊ leptos_reactive::runtime::Runtime::update::ha1d7ac2117498dc8
          1783 ┊     0.03% ┊ <leptos_dom::components::ComponentRepr as core::fmt::Debug>::fmt::haa8ff6b1fb8d54d3
